파일명	전체 pptx
롯데면세점_전사 임직원 대상 생성형 AI 과정.txt	https://drive.google.com/file/d/13GGJaVNPr2_0BwSjchr987b_Giy820_A/view
패스트캠퍼스_교육제안서_엘지유플러스_Re-Mastery 과정_250515.txt	https://drive.google.com/file/d/1P2mfkkzYC4kvNvtaEVNz3ezuY7Qbc_yH/view
패스트캠퍼스_교육제안서_NHN_AI 실무융합 마스터클래스_250703.txt	https://drive.google.com/file/d/1U2RsuSiQAUVeh3I0te8ii9CZ32GP7tcv/view
패스트캠퍼스_교육제안서_동국홀딩스_생성형AI교육_250814.txt	https://drive.google.com/file/d/1WYr387jifedPtNq5MUHA671NCNvEqkkB/view
패스트캠퍼스_교육제안서_LG생활건강_HR 직무 대상 생성형 AI 활용 과정_250812_v3.txt	https://drive.google.com/file/d/1C1CdJ67UGqt3L6VEO9q45m_GMU1ULRV3/view
패스트캠퍼스_교육제안서_신세계디에프_생성형 AI활용 업무효율화 과정 제안서(250318).txt	https://drive.google.com/file/d/19qEtrA9cOoB_0w53Y896mQpYTdgzPJBr/view
패스트캠퍼스_교육제안서_포스코DX_생성형AI프로젝트_250806.txt	https://drive.google.com/file/d/19XSJ-r_dqgJa0clq2TbRdz65xNKK9Mv1/view
패스트캠퍼스_교육제안서_유안타증권_생성형 AI 활용 과정_250805.txt	https://drive.google.com/file/d/1sidDj3W9K1otmO_q8V-pPWpP0sBGL6QO/view
패스트캠퍼스_교육제안서_카카오페이_전사 생성형 AI 업무 적용 과정_250408.txt	https://drive.google.com/file/d/147yOY-FKhtnB8kxXHPC3_0IWQo1FluoN/view
패스트캠퍼스_교육제안서_롯데글로벌로지스_250611.txt	https://drive.google.com/file/d/1w2icqbv1es6Mkd0waXEOoRZ_kLj1HHqR/view
패스트캠퍼스_교육제안서_애경산업_AI활용 심화교육 및 AI활용 마케팅 직무특화 교육 제안서_250619.txt	https://drive.google.com/file/d/1nzYrC4eIbpUBrw6SZysD36o86TMAJA5e/view
패스트캠퍼스_교육제안서_유베이스_2025년 임원진 대상 AI 활용 교육_250702.txt	https://drive.google.com/file/d/1xXwB3YmKKCejgP_3WOQCLrAa6Yu0TPgM/view
패스트캠퍼스_교육제안서_대상주식회사_전사 생성형 AI 리터러시 과정_v2 (1).txt	https://drive.google.com/file/d/1FaYTFSDTDm1Sh7M98lY-ZulsHG7R3QZ1/view
★ 패스트캠퍼스_제안서_하나은행_샌드박스 실효성 검증을 위한 시범사업 제안_vf.txt	https://drive.google.com/file/d/11erutnFKxFQOgtsi4hUD7lqA9opWUP3R/view
패스트캠퍼스_교육제안서_신한라이프_AI 활용 아이디어톤.txt	https://drive.google.com/file/d/1Eubm_2blPk4kvL2-33bwryJzBfMOrfR3/view
패스트캠퍼스_교육제안서_F&F_업무자동화 Tool 활용 과정.txt	https://drive.google.com/file/d/1Ym-e26rtBK-k-6a4bi8l30gbpxRXJe9l/view
패스트캠퍼스_교육제안서_삼성카드_생성형AI와 문서 작성하기 과정_250416.txt	https://drive.google.com/file/d/1nWcOmQZE3KpWOZRvY2NBI8PH9AXBGcj2/view
